Machine ID,Location,Polling center,Clustered precinct,Precincts in the cluster,Abstentions,Number of registered voters,No. of voters who actually voted,No. of valid ballots cast,Turnout (%),cluster_id,Clustered Precinct Extracted
HPM180PA01001024,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, SAN BARTOLOME",GOODWILL CLUB HOUSE,74041224,"2671A,2671B,2671C,2672A,2672B",1,997,622,622,62.38,74041224,74041224
HPM180PA01001031,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, COMMONWEALTH",COMMONWEALTH HIGH SCHOOL,74040471,"1797B, 1797C, 1797D, 1797E",0,799,516,516,64.58,74040471,74040471
HPM180PA01001055,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 36",ISABELO DELOS REYES ELEM. SCHOOL,39010074,"0108B, 0109A, 0109B, 0109C, 0109P1",0,528,406,406,76.89,39010074,39010074
HPM180PA01001057,"NCR, TAGUIG - PATEROS, TAGUIG, USUSAN",USUSAN ELEMENTARY SCHOOL,76070359,"0943B, 0944A, 0945A, 0946A, 0946B",3,987,673,673,68.18,76070359,76070359
HPM180PA01001076,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CITY OF VALENZUELA, MAPULANG LUPA",APOLONIA F. RAFAEL ELEMENTARY SCHOOL,75040311,"0866B, 0866C, 0867A, 0867B, 0867C",0,956,755,755,78.97,75040311,75040311
HPM180PA01001149,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, BAGONG SILANGAN",BAGONG SILANGAN ELEMENTARY SCHOOL,74040504,"1851A, 1851B, 1852A, 1852B, 1853A",3,965,663,663,68.7,74040504,74040504
HPM180PA01001241,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, B. F. HOMES",B. F. MULTI-PURPOSE HALL PHASE 1,76040170,"0519B, 0519C, 0520A, 0520B, 0521A",1,984,661,661,67.17,76040170,76040170
HPM180PA01001282,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 23",SAMPALUKAN ELEMENTARY SCHOOL,75010625,"1876F, 1877A, 1878A, 1879A, 1880A, 1880B, 1881A, 1881P1",0,919,619,619,67.35,75010625,75010625
HPM180PA01001294,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF LAS PIÑAS, ALMANZA UNO",ALMANZA ELEMENTARY SCHOOL,76010313,"0607I, 0607J, 0607K, 0608A, 0608B, 0608C",0,930,613,613,65.91,76010313,76010313
HPM180PA01001398,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, B. F. HOMES",B. F. MULTI-PURPOSE HALL PHASE 1,76040174,"0533B, 0534A, 0535A, 0536A",1,788,565,565,71.7,76040174,76040174
HPM180PA01001401,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 167",LLANO ELEM. SCHOOL,75010161,"0627B, 0627C, 0627D, 0628A, 0628B",1,952,664,664,69.74,75010161,75010161
HPM180PA01001413,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, MATANDANG BALARA",OLD BALARA ELEMENTARY SCHOOL (FORMERLY ANNEX),74040741,"4324A, 4325A, 4325B, 4325C, 4325D",0,951,657,657,69.08,74040741,74040741
HPM180PA01001439,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, SANTO DOMINGO (MATALAHIB)",ANGELICUM COLLEGE GYMNASIUM,74040160,"0857A, 0858A, 0859A, 0860A",2,792,561,561,70.83,74040160,74040160
HPM180PA01001442,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, MAHARLIKA",E. RODRIGUEZ JR. HIGH SCHOOL,74040227,"1209A, 1210A, 1211A, 1212A, 1213A",0,824,558,558,67.71,74040227,74040227
HPM180PA01001450,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 210",PLARIDEL ELEMENTARY SCHOOL,39010419,"0851A, 0851B, 0852A, 0852B, 0852C, 0853A",2,949,683,683,71.97,39010419,39010419
HPM180PA01001578,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, GULOD",ROSA SUSANO ELEMENTARY SCHOOL (NOVALICHES ELEMENTARY SCHOOL),74041181,"2549A,2550A,2551A,2552A,2553A",1,999,648,648,64.86,74041181,74041181
HPM180PA01001585,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MARIKINA, MARIKINA HEIGHTS (CONCEPCION)",KAPITAN MOY ELEMENTARY AND MARIKINA HEIGHTS HIGH SCHOOL,74020198,"0807C, 0808A, 0808B, 0809A, 0809B",1,931,712,712,76.47,74020198,74020198
HPM180PA01001620,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, COMMONWEALTH",COMMONWEALTH ELEMENTARY SCHOOL,74040393,"1598E, 1598F, 1598G, 1599A, 1599B",1,1000,600,600,60.0,74040393,74040393
HPM180PA01001684,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, SAN JUAN CITY, BATIS",SAN PERFECTO ELEMENTARY SCHOOL,74050013,"0055A, 0056A, 0057A, 0058A, 0059A",0,838,659,659,78.63,74050013,74050013
HPM180PA01001858,"NCR, TAGUIG - PATEROS, TAGUIG, WESTERN BICUTAN",TENEMENT ELEMENTARY SCHOOL,76070412,"1103B, 1104A, 1105A, 1105B, 1106A",1,953,687,687,72.08,76070412,76070412
HPM180PA01002007,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 176",BAGONG SILANG HIGH SCHOOL (KALAYAAN ANNEX),75010339,"1127B, 1128A, 1128B, 1129A, 1130A",0,757,517,517,68.29,75010339,75010339
HPM180PA01002026,"NCR, TAGUIG - PATEROS, TAGUIG, SOUTH SIGNAL VILLAGE",KAPITAN JOSE CARDONES MEMORIAL ELEMENTARY SCHOOL,76070281,"0689A, 0690A, 0691A, 0692A, 0693A",0,999,714,714,71.47,76070281,76070281
HPM180PA01002086,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MUNTINLUPA, POBLACION",ITAAS ELEMENTARY SCHOOL (ANNEX),76030156,"0308V, 0308W, 0308X, 0308Y, 0308Z",2,971,615,615,63.33,76030156,76030156
HPM180PA01002155,"NCR, TAGUIG - PATEROS, PATEROS, SANTA ANA",CAPT. H. FRANCISCO ELEMENTARY SCHOOL - MAIN,76060028,"0095B, 0096A, 0096B, 0097A, 0097B",2,874,628,628,71.85,76060028,76060028
HPM180PA01002232,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, MARCELO GREEN VILLAGE",MULTI-PURPOSE GYM,76040257,"0831A, 0832A, 0833A, 0834A, 0835A",2,882,661,661,74.94,76040257,76040257
HPM180PA01002256,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, PANSOL",BALARA ELEMENTARY SCHOOL,74040719,"4236A, 4236B, 4236C, 4237A, 4238A",1,895,726,726,81.11,74040719,74040719
HPM180PA01002288,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MANDALUYONG, HULO",HULO INTEGRATED SCHOOL,74010161,"0526A, 0526B, 0526C, 0527A, 0528A",1,917,597,597,65.1,74010161,74010161
HPM180PA01002404,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, BAHAY TORO",TORO HILLS ELEMENTARY SCHOOL,74040061,"0312A, 0313A, 0314A, 0315A, 0316A",3,928,600,600,64.65,74040061,74040061
HPM180PA01002516,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, SUN VALLEY",SUN VALLEY ELEMENTARY SCHOOL,76040295,"0980A, 0981A, 0982A, 0983A",0,796,615,615,77.26,76040295,76040295
HPM180PA01002537,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, UNANG SIGAW",BONIFACIO MEMORIAL ELEMENTARY SCHOOL,74041358,"3107A, 3108A, 3109A, 3110A, 3111A",1,948,691,691,72.89,74041358,74041358
HPM180PA01002539,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, SAN JUAN CITY, CORAZON DE JESUS",SAN JUAN NATIONAL HIGH SCHOOL,74050016,"0067B, 0068A, 0069A, 0069B, 0070A, 0070B",0,922,664,664,72.01,74050016,74050016
HPM180PA01002620,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, MANGGAHAN","SAN LORENZO RUIZ ELEMENTARY SCHOOL,",74030220,"0654A, 0655A, 0656A, 0656B, 0656C, 0657A",0,929,729,729,78.47,74030220,74030220
HPM180PA01002640,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 157",APELO ELEM. SCHOOL,76050120,"0542A,0542B,0543A,0543B",4,639,461,461,72.14,76050120,76050120
HPM180PA01002658,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, SAN ISIDRO",SAV 6 MULTI PURPOSE HALL,76040125,"0389B, 0390A, 0390B, 0391A, 0391B",0,844,613,613,72.63,76040125,76040125
HPM180PA01002833,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 187",A. MABINI ELEM. SCHOOL,75010521,"1669A, 1669B, 1670A, 1670B, 1671A",0,1000,694,694,69.4,75010521,75010521
HPM180PA01002949,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MARIKINA, INDUSTRIAL VALLEY",MONTE VISTA MULTI-PURPOSE HALL,74020112,"0500A, 0501A, 0502A, 0502B, 0503A, 0504A, 0505A",1,688,530,530,77.03,74020112,74020112
HPM180PA01002955,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MANDALUYONG, ADDITION HILLS",JOSE FABELLA MEMORIAL SCHOOL,74010066,"0145D, 0146A, 0146B, 0146P1",1,797,472,472,59.22,74010066,74010066
HPM180PA01002962,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MARIKINA, SAN ROQUE",SAN ROQUE ELEMENTARY SCHOOL,74020008,"0042B, 0042C, 0043A, 0043B, 0043C, 0044A",0,938,699,699,74.52,74020008,74020008
HPM180PA01003035,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, PASONG PUTIK PROPER (PASONG PUTIK)",MALIGAYA ELEMENTARY SCHOOL,74041080,"2209H,2209I,2209J,2209K,2209L",2,984,684,684,69.51,74041080,74041080
HPM180PA01003051,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, SAN DIONISIO",PARAÑAQUE ELEMENTARY SCHOOL CENTRAL,76040093,"0299D, 0299E, 0299F, 0299G, 0299H, 0299P1",0,654,402,402,61.46,76040093,76040093
HPM180PA01003112,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, MALABON CITY, TONSUYA",TONSUYA ELEMENTARY SCHOOL,75020161,"0408B,0408C,0408D,0409A",2,781,558,558,71.44,75020161,75020161
